"strategy","genes","s","N","gen","n_rep","p_lost","ibd","ibd_sd","rpg","drag","p_ibd","p_drag","p_both","drag_q95","p_both_lo","p_both_hi","gain"
"bg",2,0.6,40,2,300,0,0.96749750499002,0.00821533353567596,0.915094810379242,106.591666666667,1,0.103333333333333,0.103333333333333,190.25,0.0712964460285331,0.143460521487415,0.016727922879714
"bg",2,0.6,40,3,300,0,0.983395708582834,0.00461305005703078,0.960087325349301,70,1,0.43,0.43,127.625,0.373248442979169,0.488147851100922,0.00752701128761982
"bg",2,0.6,60,1,200,0,0.923690119760479,0.0116762681571893,0.79938997005988,176.1375,0.995,0.01,0.01,292.5,0.00121334901373603,0.0356546683972397,0.036771320978081
"bg",2,0.6,60,2,200,0,0.97064371257485,0.00708232750696478,0.919214071856287,97.4625,1,0.165,0.165,172.75,0.116383119958054,0.223843467711821,0.0186582548995385
"bg",2,0.6,60,3,200,0,0.985669910179641,0.00431674573638969,0.963413173652695,61.375,1,0.595,0.595,122.625,0.523475024716723,0.663665169945383,0.00769865815008335
"bg",2,0.6,80,1,150,0,0.928622754491018,0.0122271898053507,0.813188622754491,169.266666666667,1,0.0133333333333333,0.0133333333333333,270.25,0.00161882702983975,0.0473330194963356,0.0416720952846193
"bg",2,0.6,80,2,150,0,0.973168662674651,0.00637356045832227,0.928348303393214,94.4333333333333,1,0.193333333333333,0.193333333333333,160,0.133466785846508,0.265711481457349,0.0182046397916703
"bg",2,0.6,80,3,150,0,0.986626746506986,0.00395563909283576,0.966996007984032,56.5666666666667,1,0.66,0.66,101.375,0.578263332512665,0.735274903348861,0.00730406126596471
"bg",2,0.6,100,1,120,0,0.931686626746507,0.0113560606854056,0.815955588822355,175.3125,1,0,0,270.125,0,0.0302729725774201,0.0439785476192562
"bg",2,0.6,100,2,120,0,0.974575848303393,0.00643589202166771,0.930538922155689,96.375,1,0.191666666666667,0.191666666666667,160.625,0.125551724856464,0.27358238273732,0.0182040711440919
"bg",2,0.6,100,3,120,0,0.987942864271457,0.0036935046757301,0.968662674650699,56.5625,1,0.625,0.625,95.75,0.531988138286018,0.711686329429866,0.00773621279631425
"bg",2,0.6,120,1,100,0,0.931399700598802,0.011232017395853,0.812432634730539,172.275,1,0.02,0.02,305.5,0.00243133682394254,0.0703839324710701,0.043912309491332
"bg",2,0.6,120,2,100,0,0.975793413173653,0.00621454667925593,0.932163173652695,93.975,1,0.2,0.2,167.75,0.126655552101956,0.291842689088628,0.0195634417418199
"bg",2,0.6,120,3,100,0,0.988877245508982,0.00312536952122943,0.971152694610778,48.125,1,0.77,0.77,102.625,0.675141267224897,0.848268388698952,0.00780149618628558
"bg",2,0.6,160,1,90,0,0.933873918829009,0.00907210630617875,0.819269793745842,167.055555555556,1,0,0,267.5,0,0.0401589196157747,0.0459211195526171
"bg",2,0.6,160,2,90,0,0.97749500998004,0.00535279465134806,0.93522122421823,90.1666666666667,1,0.2,0.2,159.125,0.123055546010914,0.297542450132727,0.0197183361991593
"bg",2,0.6,160,3,90,0,0.989654025282768,0.00275206970061575,0.973461410512309,48.3055555555556,1,0.722222222222222,0.722222222222222,87.75,0.61781122522149,0.811495737378083,0.00756668626359097
"bg",2,0.6,200,1,90,0,0.936285761809714,0.00990705683612519,0.822945775116434,151.444444444444,1,0.0333333333333333,0.0333333333333333,232.5,0.00692760273101017,0.0943360934131362,0.0485895014580783
"bg",2,0.6,200,2,90,0,0.978343313373254,0.00475888243325426,0.939745508982036,80.3611111111111,1,0.277777777777778,0.277777777777778,132.75,0.188504262621917,0.38218877477851,0.0192104489161634
"bg",2,0.6,200,3,90,0,0.990161343978709,0.00263518042208638,0.973977045908184,40.6944444444444,1,0.844444444444444,0.844444444444444,81.625,0.752797419854484,0.912264135383818,0.00748057188186504
"bg",2,0.6,250,1,90,0,0.937666333998669,0.00942793850823947,0.82356121091151,158.861111111111,1,0.0333333333333333,0.0333333333333333,270.25,0.00692760273101017,0.0943360934131362,0.0504232316195482
"bg",2,0.6,250,2,90,0,0.978950432468397,0.00510605545638906,0.938539587491683,87.8333333333333,1,0.222222222222222,0.222222222222222,146.375,0.14133689846537,0.322126812327098,0.0195271934760907
"bg",2,0.6,250,3,90,0,0.990527278775782,0.00267218645759163,0.974484364604125,42.3888888888889,1,0.822222222222222,0.822222222222222,80,0.727415234796895,0.894830920127363,0.00741808106634877
"bg",2,0.6,320,1,90,0,0.937924151696607,0.00887969007133346,0.826039587491683,151.388888888889,1,0.0333333333333333,0.0333333333333333,251.375,0.00692760273101017,0.0943360934131362,0.0506738513587618
"bg",2,0.6,320,2,90,0,0.981129407850965,0.00458052725343355,0.942307052561544,73.5555555555556,1,0.444444444444444,0.444444444444444,164.375,0.339644156316046,0.553003985535103,0.021137404309774
"bg",2,0.6,320,3,90,0,0.991816367265469,0.00256555497867581,0.976771457085828,33.0833333333333,1,0.933333333333333,0.933333333333333,66.375,0.860524300515203,0.975143333720965,0.0070848244096652
