"strategy","theta","gene_diversity","loss_pct","status_number","Ne_parents","n_lines_used","He_Nei","alleles_retained","alleles_lost_MAF","alleles_fixed","E_NE","A_NE","eff_dim","theta_within_A","theta_within_B","theta_between","mean_index"
"random",0.667320671296296,0.332679328703704,0.0146063720686131,0.749264965865257,52.1739130434783,65,0.332679328703704,11831,89,169,0.261863888888889,0.259191458333333,1.49556062736725,0.700595277777778,0.701114074074074,0.633786666666667,-0.0603199452444873
"random",0.666890740740741,0.333109259259259,-0.114607474783193,0.749748001366207,50,65,0.333109259259259,11835,94,165,0.263594444444444,0.259118802083333,1.49720834037584,0.700804166666667,0.700474351851852,0.633142222222222,0.11713914458916
"random",0.666094791666667,0.333905208333333,-0.353826670605177,0.750643911730531,51.063829787234,66,0.333905208333333,11836,95,164,0.267294444444444,0.25916234375,1.49963405449135,0.698769259259259,0.700952314814815,0.632328796296296,-0.058021642452929
"random",0.667834560185185,0.332165439814815,0.169053548082791,0.748688417474762,48.3221476510067,62,0.332165439814815,11820,101,180,0.263355555555556,0.260433541666667,1.49274430878466,0.701559074074074,0.701801203703704,0.633988981481482,-0.0525031144153562
"random",0.665976828703704,0.334023171296296,-0.389279950288427,0.750776871581597,52.5547445255474,68,0.334023171296296,11843,90,157,0.2672125,0.25849234375,1.50027291383708,0.699609537037037,0.699663703703704,0.632317037037037,-0.0586590460797443
"random",0.667948333333333,0.332051666666667,0.203247596285943,0.748560891685734,48.9795918367347,64,0.332051666666667,11832,97,168,0.265511111111111,0.259479947916667,1.49362346536597,0.70178,0.701833148148148,0.634090092592593,-0.16641285354018
"random",0.66741837962963,0.33258162037037,0.043972206751374,0.749155275402312,48.9795918367347,61,0.33258162037037,11817,104,183,0.263095833333333,0.260685208333333,1.49605544699695,0.70057,0.701591481481481,0.633756018518518,0.221941876512843
"random",0.666982314814815,0.333017685185185,-0.0870852663006886,0.749645063885724,48.3221476510067,62,0.333017685185185,11827,97,173,0.263670833333333,0.260466510416667,1.49582042420323,0.701039444444444,0.701410925925926,0.632739444444444,-0.161144740673037
"random",0.667433125,0.332566875,0.0484038667117511,0.749138724572593,44.4444444444444,60,0.332566875,11822,124,178,0.268258333333333,0.261370885416667,1.4939528798645,0.703275833333333,0.700751481481481,0.632852592592593,-0.0277863622481362
"random",0.666841319444444,0.333158680555556,-0.129460840584611,0.749803567086331,54.1353383458647,68,0.333158680555556,11836,92,164,0.264344444444444,0.258282083333333,1.49784460483946,0.69937537037037,0.701449722222222,0.633270092592592,-0.125033454321119
"random",0.665719421296296,0.334280578703704,-0.466642679895497,0.751067167345658,52.5547445255474,63,0.334280578703704,11823,83,177,0.263743055555556,0.26065359375,1.49844536861169,0.699913981481482,0.699856111111111,0.631553796296296,-0.0174622131237068
"random",0.666214583333333,0.333785416666667,-0.31782378160188,0.750508938874174,51.7985611510791,65,0.333785416666667,11833,93,167,0.262770833333333,0.259270677083333,1.49857956732423,0.701020462962963,0.699140277777778,0.632348796296296,-0.147728298804873
"random",0.668080763888889,0.331919236111111,0.243049050969563,0.748412507927196,50.7042253521127,68,0.331919236111111,11839,105,161,0.262573611111111,0.25767265625,1.494887108861,0.699450833333333,0.703983518518518,0.634444351851852,0.0363005660072056
"random",0.667324953703704,0.332675046296296,0.0158934318687479,0.749260157626299,49.6551724137931,62,0.332675046296296,11816,100,184,0.261463888888889,0.260273333333333,1.49589729074103,0.701263425925926,0.700949537037037,0.633543425925926,0.156628710867818
"random",0.666991736111111,0.333008263888889,-0.084253734740452,0.749634475106461,51.4285714285714,66,0.333008263888889,11825,90,175,0.263533333333333,0.25890625,1.49620819926228,0.699762592592593,0.701846574074074,0.633178888888889,-0.142974447912608
"random",0.667143796296296,0.332856203703704,-0.0385526762162192,0.749463613055823,54.5454545454545,68,0.332856203703704,11848,80,152,0.265641666666667,0.258304895833333,1.49633094453448,0.700188425925926,0.699888055555555,0.634249351851852,0.295600072173786
"random",0.666242546296296,0.333757453703704,-0.309419628961121,0.750477439154173,54.5454545454545,68,0.333757453703704,11839,77,161,0.267631944444444,0.258533645833333,1.49808359380262,0.699385092592593,0.700161388888889,0.632711851851852,0.0205318895536849
